id,x,y
1,554400.0,379850.0
2,554390.0,379860.0
3,554380.0,379870.0
4,554440.0,379830.0
5,554541.7,379927.1
6,554947.3,379226.1
7,555119.5,379083.1
8,555129.1,379078.9
9,555247.6,379012.4
10,555393.3,378931.9
11,555523.7,378859.9
12,555607.3,378813.8
13,555698.4,378780.6
14,555830.9,378764.4
15,555838.5,378778.6
17,555777.7,378665.8
18,555727.9,378573.6
19,555699.6,378520.8
20,555674.3,378534.5
21,555671.0,378543.3
22,555667.7,378552.1
23,555319.0,378646.2
24,555305.9,378661.3
25,555277.4,378661.9
26,554993.8,378812.5
27,554981.0,378827.8
28,554952.4,378828.7
29,554765.6,378926.3
30,555668.5,378538.9
31,555662.7,378543.4
32,554758.5,378931.1
33,554749.2,378948.8
35,555666.0,378459.1
36,555601.7,378340.2
37,555548.9,378239.5
38,555519.6,378188.4
39,555513.8,378191.1
40,555508.0,378193.7
41,555417.9,378235.0
42,555265.6,378304.8
43,555145.1,378359.9
44,555003.9,378424.4
45,554936.7,378455.1
46,554866.2,378488.0
47,554816.9,378524.7
48,554757.6,378598.2
49,554619.9,378685.7
50,554511.5,378739.6
51,554348.8,378820.4
52,555485.5,378129.1
53,555423.4,378021.1
54,555359.9,377905.7
55,555301.8,377800.0
56,555264.5,377811.9
57,555226.4,377829.3
58,555103.3,377890.7
59,554983.3,377996.1
60,554860.1,378099.9
61,554761.1,378151.7
62,554630.0,378224.8
63,555236.0,377680.1
64,555225.2,377689.6
66,555176.1,377570.9
67,555118.6,377467.2
68,555050.3,377343.2
69,554996.2,377244.5
70,555074.3,377165.6
71,555088.3,377151.4
72,555144.0,377064.1
73,555200.5,376975.6
74,555276.8,376856.1
75,555343.0,376752.6
76,555409.1,376649.1
77,555472.9,376548.2
78,555532.4,376449.4
79,555598.7,376344.8
80,555666.2,376238.9
81,555733.3,376133.6
82,555775.7,376066.8
83,555822.0,375994.7
84,555916.6,375867.7
85,555967.6,375784.7
86,555961.9,375765.5
87,556007.9,375720.9
88,556049.8,375655.3
89,555926.7,375879.8
90,555936.9,375891.8
91,555972.2,375962.9
92,556012.9,376044.3
93,556047.2,376112.9
94,556092.4,376203.6
95,555505.1,376454.2
96,555499.0,376454.6
97,555492.9,376455.0
98,555087.9,376774.8
99,555090.3,376794.7
101,555500.8,376451.6
102,555496.6,376449.0
103,555305.6,376423.3
104,555286.7,376429.8
105,555269.9,376454.7
106,555202.4,376563.8
107,555189.8,376579.3
108,555180.1,376607.3
109,555100.1,376714.2
